	step01	frequency_step1
0	Jerzy Truszkowski	2
1	Boros Miklós	2
2	Jace (F)	2
3	Szabó Ágnes Katalin	2
4	10 horvát és magyar mezogazdász család közremuködésével	2
5	Dés-Kertész Dóra	2
6	+ meglepetés	2
7	Piotr Kolakowski	1
8	Szécsényi-Nagy Lóránd – Szekeres Ágnes	2
9	Csörgő Tamás	11
10	Motoko Katsuta	2
11	Kiltau Kinga	1
12	Axel Matthes	2
13	Ibos Éva	2
14	Felvégi Andrea	4
15	Sonia Wilk	2
16	Nik Timková	2
17	Veszely	2
18	Peeter Pere	2
19	Németh Erika	9
20	Ter Wal Paul Nl * Tooth Gábor Andor * Vass Tibor	2
21	Varga Tamás Dla egyetemi docens	2
22	Sztrákos Eszter	2
23	Szirmai Nóra	6
24	Performansz directed by Aurora Aulong	2
25	L. Balogh Krisztina	2
26	Joshua Birch	2
27	Hollán Sándor	3
28	Aggtelek (művészcsoport/ES)	2
29	Neeme Külm	2
30	Kaszás Réka	20
31	Csou Hsziao-hu (Zhou Xiaohu)	2
32	Dr. Puskás István	1
33	Eleőd Ildikő művészettörténész	2
34	Orgoványi Gábor képzőművész	2
35	Zoran Didek	2
36	4 fiatal kortárs képzőművész Londonból	2
37	Barta Anikó	2
38	Műút	2
39	Torsten Ridell (S)	4
40	Szemadám György festőművész	3
41	Wang Ya-Hui	2
42	Gáspár Olivér	2
43	Juhász Ferenc Kossuth-díjas költő	1
44	Ravasz Jonathan	1
45	Clara S Rueprich	2
46	Horányi Kinga	4
47	Horváth Csilla	23
48	Aleksandra Domanović	2
49	Dr. Bendzsel Miklós	2
50	BeatKOHO Akusztik	2
51	Baksa Soos Krisztina	2
52	Žarko Aleksić	2
53	Dudás Dezső	2
54	Dy Tagowska	2
55	Risto Suomi	2
56	Kártpáti Tibor	2
57	Feledy Balázs műveszeti író	2
58	Gerber Pál	136
59	Frankl Aliona	18
60	Gyimesi Nóra	2
61	Noriko Fuku	2
62	Nyerges Gábor Ádám	2
63	Volker Schlöndorff:  A rémkirály	1
64	Marilou Lemmens	1
65	Galambos Máté	2
66	Matiszlovics Tibor	2
67	Mészöly Suzanne	2
68	Herczig Zsófi	2
69	Kass János	10
70	Roy Lichtenstein (Usa)	2
71	Verebics Kata	2
72	Laz Jori	2
73	Kiss Katalin építész	1
74	Mihály Gyula	4
75	Dinara Nurimova	2
76	David Èerný	4
77	Palka József	2
78	Szeredi Merse Pál	18
79	Georg Peck ( Usa )	1
80	Teszner Barbara	2
81	Juliána Chomová (cz)	2
82	Szarvas	8
83	Igor Buharov	6
84	Beke László  művészettörténész	2
85	Scott	1
86	szépír	2
87	Céline Condorelli	2
88	dr. Bodolai László	1
89	Devich Benedek	2
90	Bukta Zsolt	2
91	Térey János költő	3
92	Olajos Ilka	6
93	Eötvös Péter	1
94	Porga Gyula Veszprém polgármestere	2
95	Vetró-Bodoni Barnabás	2
96	Fekete Géza	4
97	Aleksandr Kutsepalov	2
98	Herbert Aniko	11
99	Sz. Varga Ágnes	8
100	ifj. Blaskó János	1
101	Birkás Ákos	96
102	Kupcsik András	2
103	Artur Zmijewski	1
104	Nagy Tibor	9
105	Velimir Zernovski (Mk)	2
106	Ari Kupsus	2
107	Böröczfy Virág művészeti író	1
108	Viskovic Jelena	7
109	Beöthy Balázs & Keserue Zsolt	2
110	Jordi Pallarés	10
111	Gáll Ádám	9
112	Dr. Salvatore Ettorre - a budapesti olasz kulturális intézet igazgatója	2
113	Közreműködik: Selecta Paco	2
114	Meseszó Egyesület	2
115	Deák Csillag	6
116	Nyitrai Anna	2
117	Kulturális Örökség Napjai	2
118	Őry Eszter	2
119	Berényi Zsuzsa	1
120	Szabó Noémi	93
121	S. Nagy Katalin	14
122	Ivan Lardschneider	2
123	István Kovács	2
124	Vasilina Verdi	2
125	Egyed Gábor	4
126	Davida Kidd	2
127	Bródy János	4
128	Mark Habblewhite	1
129	Dr.Hegyi Lóránd művészettörténész	2
130	Borzsák Veronika	4
131	Alexey Klyuykov	4
132	Vanyúr istván	2
133	Nagy Csaba Mátyás	1
134	Koncz Zsuzsa	4
135	hatvanhat költő	2
136	Gerzson-Lipták Orsolya	2
137	Bózsa Evelin	5
138	Pálfalusi Attila	20
139	Batarita	2
140	Szombathy Bálint	221
141	Haveit	1
142	Pecsenke József	2
143	Szeleczki Rozália	3
144	Bernd Finger	4
145	Bóbics Dianna	2
146	Milica Tomić	1
147	Tamara Abdul Hadi	2
148	Magyari Márton	1
149	Lencsés Ida	5
150	Szatory Dávid	2
151	Dr. Misur György	2
152	Gallusz Gyöngyi	5
153	Bettina Busse	1
154	Nagy Balogh János	2
155	Adam Rzepecki	8
156	Schneller János	24
157	Cebula Anna  művészettörténész	2
158	Johanna	1
159	Gyulai Natália	1
160	Hegedűs D. Géza	1
161	Cseke Szilárd képzőművész	2
162	Bolygó Bálint (h/gb)	1
163	Virág Zoltán	2
164	Szegedi Éva	2
165	Josefin Bergman	2
166	S&oslash;ren Dahlgaard	2
167	Joanna Vasdeki  Jeff Vanderpool	2
168	Gera Noémi ékszertervező és Lenzsér-Mezei Kata ékszertervező	2
169	Blaskovics Bence	2
170	Erdős Virág	8
171	Jokesz Antal	26
172	egyetemi oktato	2
173	Prof. Dr. Beate Reifenscheid	2
174	Nemes István	2
175	Sanni Seppä	1
176	Josephine Bonnet	2
177	Manfred Fath professzor	2
178	Gorge H. Walker nagykövet	2
179	Karádi Eva	2
180	Hatvani Orsolya	6
181	Hubert Czerepok	10
182	a rendezési tervet készítő iroda	1
183	Bella Dóra	2
184	Kisspál Anna	2
185	Császár Tamás	2
186	Alexandra Pellissier	2
187	Földes Barnabás	2
188	Zuzu-Vető	2
189	Peternák Miklós - Angel Judit	2
190	Jan Danebod	6
191	Tóth Anna és Varga Bertalan	2
192	Sárai Rachel	2
193	Metteo Basilé	2
194	Shirakawa Masahiro	1
195	Csontos Györgyi	2
196	Korányi Mátyás	4
197	Pető Tibor Magyarország prágai nagykövete	2
198	Dr. Csobó Péter György zeneesztéta	2
199	Gheorghe Mureşan	2
200	Franzini Paula Ca	2
201	Sólyomné Gyürk Dorottya Szentendre város alpolgármestere	2
202	Bohoczky József	2
203	Tamás Mihály Attila	2
204	Jiri Sopko	1
205	Both András színész	2
206	Spengler Katalin  művészeti író	2
207	Dr. Antal Péter  a gyűjtemény tulajdonosa	2
208	Maja and Reuben Fowkes	6
209	Kujbus János	18
210	Christian Zillner	4
211	Viski Noémi desing- és művészetelemző	2
212	Fákó Árpád	10
213	Ferkow Jakab múzeumigazgató	2
214	Goda Gábor	3
215	Cseh Krisztina	2
216	Elektróda	2
217	Zanin Éva	2
218	Az anyagot válogatta El Kazovszkij Kossuth-díjas festőművész	1
219	Kollár Ferenc	2
220	Hosszúlépés	2
221	Art Quarter Budapest	8
222	Pásztor Gábor	2
223	Gudny Gudmundsdottir	2
224	Robin Tarbet	2
225	Páll Tibor Krisztián	10
226	Újvárossy Kerekes Gyöngyi	2
227	Jytte Loehr	1
228	Pia Salo	2
229	Áfrány Gábor / Tóth-Zs. Szabolcs	2
230	Plh Arkitekter	2
231	Ivan Nedoh	1
232	Tróznai Attila	2
233	Tóth Gergely	4
234	Klaus Pamminger	1
235	Szeleczki Rozi	4
236	Babinszky Csilla  Bódis Barnabás	2
237	Gazsó Hargita	2
238	A beszélgetés résztvevői:  Benkő Imre	1
239	D. Tóth Krisztával	1
240	Prof. Karlheinz Essl	2
241	Fábián Kitti	2
242	Pócs Péter	2
243	Fejérdy Péter	2
244	Jaildo Marinho (Br)	4
245	Bene Zsófia	6
246	Eric Andersen	1
247	Bilir-Meier Cana	2
248	Kovács Kristóf (Krems)	2
249	Spitzer Fruzsina m.v.	2
250	Brad Downey	4
251	Farkas Fanni	2
252	Anna Maislinger	2
253	Igor Omulecki (Pl)	2
254	Bojár Iván András művészettörténész	2
255	Árgyelán László Ifj.	2
256	festő	1
257	Nagy Géza festőművész	2
258	Jean-Guillaume Bastien	2
259	Bachmann Bálint	2
260	Daniela Krajčová	4
261	Krasznahorkai László	3
262	Kapolyi Márta	2
263	Szabó Károly	23
264	Kelet-Szlovákiai Múzeum vendégkiállítása	2
265	Tordy Géza	2
266	Gályász Zsófia	2
267	Kim Katalin	2
268	Klemen Brun (Slo)	2
269	Kala Bence és Rácz Noémi	2
270	Arato Bálázs	1
271	Bali János	14
272	Deimantas Narkevicius	4
273	José Heerkens	4
274	Andrej Zvjagincev: Elena	1
275	Akosh S	2
276	Metahaven - Daniel van der Velden (Nl)	2
277	Szirmai Norbert / Révész János	2
278	A. E. Bizottság	2
279	Lajta Gábor Munkácsy-díjas festőművész	2
280	Radák Eszter	44
281	Vermeir & Heiremans	1
282	Böröcz András	29
283	Virágvölgyi István	20
284	Kophelyi Dániel	10
285	Alex Kalachev	2
286	Olasz Designerek	2
287	Bartha László (1908 - 1998)	2
288	Mezey Katalin	2
289	Szent-Iványi Réka	12
290	Dudás Barbara művészettörténész	2
291	Zita Gyurkovics	2
292	Péterffy András	1
293	Nagy Zsófia Magdolna	12
294	Harun Farocki	7
295	Mezey Ottó művészettörténész	1
296	Sajnos Gergely	5
297	Dunaújvárosi diákok	2
298	Bob József	9
299	dr. Mojzesné dr. Székely Katalin - egyetemi docens	2
300	Karandi Mónika	2
301	Kornis György	7
302	Apsolutno	4
303	Fitz Péter  művészettörténész	1
304	Borut Krajnc	2
305	Csikós-Nagy Zsuzsa (Usa/Hu)	2
306	Danielsen Architecture	2
307	Berze Imre	2
308	Lea Yedidia	2
309	Albrecht Júlia	4
310	Soós Károly	9
311	id Telek Zoltán	2
312	Joseph Kosuth	10
313	Piotr Borkowski  a Wroclawi Kulturális és Művészeti Központ igazgatója	2
314	Aranyosi Zsuzsánna	2
315	Vetítések	1
316	"""Klíma"""	2
317	Future Academy (Uk) - Clémentine Deliss együttműködésben a Future Academy tagjaival  2003-2006	3
318	Kőrösparti Beatrix	4
319	Zielinski Tibor	3
320	Société Réaliste: Ferenc Gróf (H/Fr) – Jean-Baptiste Naudy (Fr)	2
321	Hajdu István  műkritikus	3
322	Magyar Képzőművészeti Egyetem  Budapest	2
323	Erőss Nikolett és Gadó Flóra	2
324	Folytonosság a hagyományos belső-ázsiai nomád művészetben	1
325	Bács Emese	37
326	Pusztaszeri Katalin	5
327	Zekufman wall paint	2
328	Laut Rosenbaum (Nl)	1
329	Albert George	2
330	Fülöp József kurátor	2
331	Ko­vács Lehel	2
332	Monika Hanulak	1
333	Moderátor: Ferenczi Gábor filmrendező	2
334	Dénes Ágnes Dóra	25
335	Cimbalmos Márta Cedenka	2
336	a Pte rektora	2
337	Pető Hunor	54
338	Öko-Avantgárd	2
339	Ljubomir Vucinic (Srb)	2
340	Getto Feri	2
341	Alice Rubbini	2
342	Bánfalvi Eszter	2
343	Andrej Popov	2
344	Debreczeni Zolán (Mome ANIM-Essemble)	2
345	Kurátor:Fekete János	2
346	Surányi Miklós installációja és összeállítása	2
347	Rasa Vesali	3
348	Erzsébet Hao	2
349	Kamen Stojanov	1
350	Dr. Dippold Péter	1
351	Czakó Margit	2
352	Szuhay Péter etnográfus	2
353	Szűcs Barbara Eszter	3
354	Alina Kunitsyna	2
355	Kmetty János	12
356	Naske László	3
357	a Budapesti Metropolitan Egyetem (Metu) művészeti hallgatói	3
358	Richter Zsuzsa	2
359	Anne De Vri	1
360	kurátor (MuHKA	2
361	Kemes Balázs	2
362	Kisvarsó	4
363	Válogatás a Vadnai Galériával együttműködő  művészek munkáiból	2
364	Bányász Anna	2
365	Arany Virág	2
366	Viktor Pivovarov (Ru)	2
367	Kovács Tamás & Pintér Gábor	2
368	Chandrabhanu Pattanayak	2
369	Bús Gábor Olivér	1
370	F.Farkas tamás	2
371	Huszár András	3
372	Mészáros Zsófi	3
373	Lőrincz Ferenc	2
374	Bráda Tibor Munkácsy-díjas festőművész	2
375	Pinke Miklós	8
376	Dér András és Hartai László	2
377	György Péter	37
378	Sárközi Antal	6
379	Victora Zsolt	78
380	Sándor Anna	2
381	Katarína Poliačiková	2
382	Daniela Barackova	2
383	Kovalovszky Márta művészettörténész	10
384	a Gyik Műhely megálmodója	2
385	Az ezredforduló fiatal generációja	1
386	Kánya Emőke	11
387	Kiállítás és kerekasztal beszélgetés	2
388	Konkoly Ágnes az Fkse titkára	2
389	Barti Magdolna * Bálint Bertalan * Bózsa Evelin Nl* Büki Zsuzsanna * Czeizel Balázs * Czető Beaty Nl * Csízy László * Daradics Árpád * Detvay Jenő * Drozsnyik István Enyedi Zsuzsanna * Füleky Adrienn * Gábor Éva Mária * Gábos József * Gyenes Zsolt *	2
390	Robert Florey	2
391	Mayer Marian	2
392	Yves Lavoyer (Ch)	6
393	A Szimpóziumról és a művekről a résztvevő művészek beszélnek.	2
394	Hü	1
395	Intertájék	1
396	Csanády Pál építész	2
397	Iparművészet és Tervezőművészet	1
398	Dánfalvi Ildikó	4
399	Horváth Zsofia	2
400	Viktoria Uhalova	2
401	Lenka Holikova	2
402	Kristóf Ázbej Magdolna Barti Bertalan Bálint Sándor Bátai Anikó Bodor Evelin Bózsa (Nl) Zsuzsanna Büki László Csízy Balázs Czeizel Beaty Czető (Nl) Árpád Daradics Vera Dávid Jenő Detvay Dávid Drozsnyik István Drozsnyik	1
403	Arnaud Hendrickx	1
404	a közönség részvételével	2
405	Emma Sjövall	2
406	A Székesfehérvári Művészek Társaságának tagjai	2
407	Prieger Zsolt (Anima Sound system)	2
408	Stenczer Sári	32
409	Urbán Tibor	83
410	Kesselyák Rita	4
411	Sárkány Győző  Ferenczy Noémi-díjas	2
412	༼ つ ◕_◕ ༽つ	1
413	JózsaÉva	2
414	Pogonyi Csongor	2
415	Studio Nomad	1
416	Yang Mao-Lin	2
417	Tér /// Erő | Ii. Építészeti Nemzeti Szalon	8
418	Pipei Borbála	2
419	Hajdú Zsolt	4
420	Laszlo Zsuzsa	2
421	Zapphire (H)	2
422	Benkő Lilla	8
423	Varga Edina	2
424	Vadász Bence	2
425	Fabiano Friedrich	2
426	Turi Attila	10
427	Mark Raidpere	2
428	Erdely Emese	2
429	Finger Group	2
430	Barabás Zsófi	37
431	Maximilian Erbacher	2
432	aatoth franyo  képzőművész	2
433	Jaroslav Rössler	1
434	Gregor Podnar	1
435	Thomas	2
436	Nagy Tamás Dla építész	2
437	Hajdu István műkritikus	8
438	Mész András	2
439	Oliva Maria Rubio	4
440	Paczolay Zsófia	2
441	Xantus János	7
442	pályázók	1
443	Pittmann Zsófia	2
444	Dagrún Matthiasdottir	4
445	Borbás Péter	2
446	Miroslaw Dembinski	1
447	Jackie Triste	2
448	Parádi Judit és Káldi Kata	2
449	Rónai Balázs Zoltán költő	2
450	Szalai András	4
451	a Vs.hu fotóriportere	2
452	Budapest igazgatója	2
453	Csenki Attila	1
454	Lucia NimcováIrena Paskali	2
455	Szep Gabi	2
456	Varga Eszter	7
457	Kazi Zsolt	2
458	Keresztes Zsófia	66
459	Szerdi Gábor	10
460	Alfred Neumann élete és munkássága	1
461	Bogdan Raþa	2
462	Orsós Noémi	2
463	Andrej Jemec	2
464	Simone Elsing	1
465	RYBN.org	4
466	Buna Konstantinné	2
467	Mome	5
468	gardon.	2
469	Koller	1
470	Kósa Zoltán	2
471	Stanislas Stückgold	2
472	Hirose Satoshi	4
473	Hruskó Erika	1
474	Birgit Richard	2
475	Balázs Gábor	2
476	a két helyszín látogatói	2
477	Balogh Rodrigó	2
478	Moriyama	1
479	Susanne M. Winterling	4
480	Fábián Erika	8
481	Dominique McElligott	2
482	Barta András író	2
483	Judi Werthein	4
484	Hangyál Judit	2
485	Előadó: Lányi András	1
486	Horváth Roland  Incze Mózes	3
487	Jankó Anna	4
488	Alapító Nyolcak	2
489	Tóth György	14
490	prof. Kőnig Frigyes Dla habil rektor	2
491	Károlyi András	2
492	Bretus Imre kurátor	2
493	Czékmány Anna	1
494	Neogrady-Kiss Barnabás	2
495	Anja Theismann	2
496	Balla Gabriella	3
497	Laszlo Milasovszky	10
498	Kovács András építész	2
499	Gyarmati György	2
500	Winkler Nóra	35
501	Szeszák Ádám	6
502	Nakt képviselők	2
503	Kendell Geers	6
